Date,GOOGL,GLD,FB
2010-06-01,0.00866425829401729,-0.006712954168544671,
2010-06-02,-0.0010841881049390434,0.022804084096457174,
2010-06-03,-0.01519452341955696,0.0247887100975841,
2010-06-04,0.010427288999892427,-0.013607624335292057,
2010-06-07,0.019296886998961368,-0.026467723637188526,
2010-06-08,-0.004033237369877929,-0.0015241637454894708,
2010-06-09,-0.003636380165289333,-0.02219559800321791,
2010-06-10,-0.013188429216795416,0.027403880652145718,
2010-06-11,0.008741707920133512,0.003059473073742103,
2010-06-14,-0.0034164152417895943,-0.010869993858751205,
2010-06-15,0.011622073772944441,0.03062978280792583,
2010-06-16,-0.005454963310272953,0.006586439314798298,
2010-06-17,0.013047452621167466,-0.0023739741341869407,
2010-06-18,0.007629204140620072,-9.998000479882752e-05,
